pwID,count
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC844_r17.0.0_20260605-171052,23
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC179_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC176_r17.0.0_20260605-171052,18
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC794_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC818_r17.0.0_20260605-171052,8
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC81_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC154_r17.0.0_20260605-171052,32
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC956_r17.0.0_20260605-171052,12
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC894_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC981_r17.0.0_20260605-171052,6
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC225_r17.0.0_20260605-171052,28
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC791_r17.0.0_20260605-171052,53
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC90_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC907_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC468_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1099_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1123_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC243_r17.0.0_20260605-171052,6
http://rdf-plantmetwiki.bioinformatics.nl/pathways/RC465_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC544_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC832_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC109_r17.0.0_20260605-171052,13
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC859_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC190_r17.0.0_20260605-171052,85
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC591_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC959_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC269_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC293_r17.0.0_20260605-171052,10
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC104_r17.0.0_20260605-171052,28
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC290_r17.0.0_20260605-171052,8
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC515_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1075_r17.0.0_20260605-171052,6
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC23_r17.0.0_20260605-171052,17
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC705_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC244_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1025_r17.0.0_20260605-171052,25
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC119_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC491_r17.0.0_20260605-171052,7
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC493_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC141_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC567_r17.0.0_20260605-171052,14
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC467_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC80_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC630_r17.0.0_20260605-171052,12
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC33_r17.0.0_20260605-171052,9
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC681_r17.0.0_20260605-171052,27
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC1089_r17.0.0_20260605-171052,5
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC415_r17.0.0_20260605-171052,6
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC580_r17.0.0_20260605-171052,1
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC958_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC315_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/RC537_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC52_r17.0.0_20260605-171052,13
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC534_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC265_r17.0.0_20260605-171052,10
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC632_r17.0.0_20260605-171052,10
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC507_r17.0.0_20260605-171052,25
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC906_r17.0.0_20260605-171052,2
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC291_r17.0.0_20260605-171052,3
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC833_r17.0.0_20260605-171052,4
http://rdf-plantmetwiki.bioinformatics.nl/pathways/PC830_r17.0.0_20260605-171052,3
